"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"Pernicious","James Cullen Bressack","Ciara Hanna Emily O'Brien Jackie Moore Russell Geoffrey","Horror","Vintage Media"
"Young Ones","Jake Paltrow","Kodi Smit-McPhee Elle Fanning Michael Shannon Nicholas Hoult","Science fiction","Screen Media Films"
"Laggies","Lynn Shelton","Keira Knightley Chloë Grace Moretz Sam Rockwell Mark Webber","Romantic comedy","A24 Films"
"Ouija","Stiles White","Ana Coto Olivia Cooke Daren Kagasoff Bianca A. Santos","Horror","Universal Pictures"
"N O V E M B E R","5","Interstellar","Christopher Nolan","Anne Hathaway Matthew McConaughey Jessica Chastain Michael Caine","Science fiction","Paramount Pictures"
"A Merry Friggin' Christmas","Tristram Shapeero","Robin Williams Joel McHale Clark Duke Oliver Platt","Comedy","Phase 4 Films"
"The Better Angels","A. J. Edwards","Diane Kruger Brit Marling Wes Bentley","Biography","Amplify"
"Big Hero 6","Chris Williams","Ryan Potter Scott Adsit Jamie Chung Damon Wayans, Jr.","Animation Comedy","Walt Disney Based on the superhero team of the same name"
"Elsa & Fred","Michael Radford","Shirley MacLaine Christopher Plummer Marcia Gay Harden","Comedy-drama","Millennium Entertainment Based on the 2005 Argentinian film of the same name"
"Jessabelle","Kevin Greutert","Sarah Snook Mark Webber Joelle Carter Amber Stevens","Horror","Lions Gate Entertainment"
"The Peripheral","J.T. Seaton","Randy Frank Lynn Lowry","Horror","Lions Gate Entertainment"
"Beside Still Waters","Chris Lowell","Ryan Eggold Brett Dalton Beck Bennett","Comedy-drama","Tribeca Films"
"Beyond the Lights","Gina Prince-Bythewood","Gugu Mbatha-Raw Minnie Driver Nate Parker Danny Glover","Romance","Relativity Media"
"Dumb and Dumber To","Bobby Farrelly","Jim Carrey Jeff Daniels Laurie Holden Jennifer Lawrence","Comedy","Universal Pictures Sequel to Dumb and Dumber (1994)"
"Foxcatcher","Bennett Miller","Steve Carell Channing Tatum Mark Ruffalo Vanessa Redgrave","Drama","Sony Pictures"
"The Homesman","Tommy Lee Jones","Tommy Lee Jones Hilary Swank Grace Gummer Miranda Otto","Drama","Roadside Attractions Based on the novel of the same name by Glendon Swarthout"
"Saving Christmas","Darren Doane","Kirk Cameron Darren Doane David Shannon Bridgette Ridenour","Christian","Samuel Goldwyn Films"
"Witching Hour","Ken Comito, Melanie Comito, Victoria King, Josh Spiegel","Reanna Roanne Emily Johnson-Erday Patrick Ferrara","Horror","Lions Gate Entertainment"
