Director,Writer1,Writer2,Actor1,Actor2,Actor3,TotalAwards,Series,TomatoRev,AudienceRev,Income,Genre1,Genre2,Genre3,Label
David Mamet,David Mamet, ,Joe Mantegna,William H. Macy,Vincent Guastaferro,9,N,N/A,75, ,Crime,Drama,Thriller,no
Jim Abrahams,Jim Abrahams,Pat Proft,Charlie Sheen,Cary Elwes,Valeria Golino,1,N,83,65, ,Action,Comedy, ,no
Christopher Munch,Christopher Munch, ,David Angus,Ian Hart,Stephanie Pack,3,N,67,63, ,Drama,Music, ,no
Sean Penn,Sean Penn, ,David Morse,Viggo Mortensen,Valeria Golino,2,N,74,82, ,Drama, , ,no
Andrey Konchalovskiy,Andrey Konchalovskiy,Anatoli Usov,Tom Hulce,Lolita Davidovich,Bob Hoskins,9,N,67,78, ,Drama, , ,no
Oliver Stone,Oliver Stone,Zachary Sklar,Sally Kirkland,Anthony Ramirez,Ray LePere,43,N,85,88, ,Drama,History,Thriller,yesDrama
Spike Lee,Spike Lee, ,Wesley Snipes,Annabella Sciorra,Spike Lee,14,N,57,35, ,Drama,Romance, ,no
Steven Soderbergh,Lem Dobbs, ,Jeremy Irons,Theresa Russell,Joel Grey,2,N,N/A,N/A, ,Drama,Mystery,Sci-Fi,no
Mick Jackson,Steve Martin, ,Steve Martin,Victoria Tennant,Richard E. Grant,0,N,94,75, ,Comedy,Drama,Fantasy,no
Richard Shepard,Richard Shepard,Tamar Brott,Rosanna Arquette,David Bowie,Eszter Balint,0,N,N/A,75, ,Comedy,Crime, ,no
Jodie Foster,Scott Frank, ,Jodie Foster,Alex Lee,Adam Hann-Byrd,3,N,76,66, ,Drama, , ,no
